name,adset_name,campaign_name,event_date,sum,revenue
,,DPA_gt-F_t-AppA2C_ds-Lockdown,2024-02-02 00:00:00,80565.28,43064.38938284980
,,DPA_gt-All_t-AppCrosssellTraffic_ds-Lockdown,2024-01-30 00:00:00,10159.43,25026.12088904100
,,DPA_APPAFInstalled_notactive_And30D,2024-01-27 00:00:00,77640.17,190386.08491556600
,,DPA_APP_AFCart_abondaners_iOS,2024-02-02 00:00:00,71415.18,330324.26316359200
,,DPA_APPAFInstalled_notactive_And30D,2024-01-31 00:00:00,50234.77,45675.53091074470
,,DPA_gt-All_t-iOS_VC_Last90days,2024-01-29 00:00:00,356689.29,319374.2602023180
,,NDPA_NS_LABuyers_ROIHunter_Discounted Bestsellers_Pur,2024-01-28 00:00:00,50141.19,50748.1384315994
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown_BidCap_3,2024-02-01 00:00:00,87734.67,38919.778266623600
,,NDPA_gt-All_t-LA0RRLAudience_ds-Lockdown,2024-01-27 00:00:00,9429.01,6095.099623041050
,,DPA_AppCrossSell_NewArrival_Pur,2024-02-03 00:00:00,127039.22,442955.6515065150
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown_BidCap_3,2024-02-03 00:00:00,62019.29,147871.67271486200
,,DPA_AppTrendsBrand_Pur,2024-01-31 00:00:00,80425.02,320713.27656461700
,,NDPA_NS_Buyer_Lookalike_M_0-5_OBJ-Pur_Duplicate,2024-01-29 00:00:00,20259.45,103194.19422364100
,,NDPA_NS_LAWinterwearBuyer_Pur,2024-02-02 00:00:00,131882.9,459312.47524343200
,,NDPA_NS_LABuyers_ROI_HunterF_18-65_OBJ-Pur,2024-02-02 00:00:00,19943.18,10842.492199467500
,,NDPA_NS_LAiOSPurchsedGT5000_180D_LC,2024-01-31 00:00:00,20235.46,16289.017404405700
,,NDPA_NS_Buyers_Lapsed_M_18-65_OBJ-VC_Duplicate,2024-01-28 00:00:00,10076.15,45893.884620421200
,,NDPA_NS_LAiOSPurchsedGT5000_180D_LC,2024-01-27 00:00:00,18346.95,52242.55286173910
,,DPA_AppTrendsBrand_Pur,2024-01-30 00:00:00,81450.4,348888.95254877900
,,DPA_AppUpsellNew_Pur,2024-01-27 00:00:00,175967.18,780750.0727047980
,,DPA_gt-M_t-AppA2C_ds-Lockdown_D_CBO,2024-01-28 00:00:00,81144.9,387880.2337893510
,,DPA_gt-F_t-AppVisitors_ds-Lockdown,2024-02-03 00:00:00,9499.79,46426.30133480420
,,DPA_APP_AFRecent_Inactive_HLTV_Android,2024-01-31 00:00:00,70374.03,209676.9705497790
,,NDPA_gt-All_t-LA0RRLAudience_ds-Lockdown,2024-02-01 00:00:00,9994.92,19459.273070090400
,,NDPA_NS_Buyer_Lookalike_F_0-5_OBJ-Pur_Duplicate,2024-01-31 00:00:00,19994.58,98877.43592611010
